Date,Price,PiCycle,RUPL,RHODL,Puell,2YMA,Trolololo,MVRV,ReserveRisk,Woobull,Confidence
2011-06-27,15.59,,0.8541,0.8037,0.7125,0.5946,0.7473,0.5366,,0.5767,0.6894
2011-06-28,17.01,,0.8558,0.8116,0.6979,0.6117,0.7732,0.5405,0.8327,0.5965,0.715
2011-06-29,16.93,,0.8559,0.8107,0.712,0.6063,0.7701,0.5411,0.8415,0.591,0.7161
2011-06-30,16.88,,0.8529,0.8067,0.7254,0.6015,0.7674,0.5362,0.8478,0.5864,0.7155
2011-07-01,16.51,,0.8415,0.728,0.6829,0.5922,0.7587,0.5199,0.8487,0.5769,0.6936
2011-07-02,15.9,,0.8299,0.7228,0.6731,0.5793,0.7451,0.5025,0.84,0.5631,0.682
2011-07-03,15.53,,0.8295,0.7284,0.6652,0.5701,0.7359,0.5007,0.8294,0.5535,0.6766
2011-07-04,15.7276,,0.8301,0.7224,0.6414,0.5698,0.7382,0.5009,0.8315,0.5546,0.6736
2011-07-05,14.48,,0.8017,0.6995,0.5682,0.5465,0.7103,0.4633,0.8341,0.5282,0.644
2011-07-06,12.8,,0.7816,0.689,0.6323,0.5135,0.6693,0.4395,0.804,0.4911,0.6276
2011-07-07,14.8,,0.8169,0.692,0.5835,0.5463,0.7138,0.4818,0.7867,0.5294,0.6438
2011-07-08,15.16,,0.8178,0.6761,0.6338,0.5492,0.7198,0.4825,0.8234,0.5339,0.6546
2011-07-09,14.35,,0.8085,0.6647,0.606,0.5328,0.7006,0.4701,0.8219,0.5164,0.6401
2011-07-10,14.39,,0.8099,0.6475,0.5862,0.5307,0.6998,0.4713,0.8078,0.5141,0.6334
2011-07-11,15.08,,0.8129,0.6515,0.6147,0.5395,0.7131,0.4753,0.8051,0.5248,0.6421
2011-07-12,14.8469,,0.8065,0.6482,0.5788,0.533,0.7064,0.467,0.8056,0.5185,0.633
2011-07-13,14.15,,0.8005,0.6294,0.6565,0.5186,0.6894,0.4593,0.7949,0.5034,0.6315
2011-07-14,14.03,,0.7989,0.6247,0.5797,0.514,0.685,0.4573,0.7846,0.4992,0.6179
2011-07-15,13.93,,0.7991,0.6248,0.6056,0.5097,0.681,0.4572,0.7791,0.4955,0.619
2011-07-16,13.9,,0.7948,0.619,0.5935,0.5068,0.6786,0.4518,0.7749,0.4933,0.6141
2011-07-17,13.62,,0.7927,0.6157,0.6038,0.4995,0.6705,0.449,0.7659,0.4862,0.6104
2011-07-18,13.34,,0.7824,0.6099,0.6093,0.4922,0.6621,0.4369,0.7587,0.4765,0.6035
2011-07-19,13.6255,,0.7995,0.7374,0.5633,0.4952,0.6672,0.4515,0.7436,0.4805,0.6173
2011-07-20,14.04,,0.8027,0.7361,0.5717,0.5003,0.6751,0.4553,0.7464,0.4863,0.6217
2011-07-21,13.69,,0.8025,0.7544,0.5741,0.4919,0.6653,0.453,0.7453,0.4781,0.6206
2011-07-22,13.66,,0.8009,0.7531,0.5725,0.4892,0.6629,0.4509,0.737,0.476,0.6178
2011-07-23,13.65,,0.8025,0.7543,0.5616,0.4869,0.661,0.4525,0.7304,0.4745,0.6155
2011-07-24,13.64,,0.8018,0.7533,0.6002,0.4847,0.6591,0.4516,0.7271,0.4729,0.6188
2011-07-25,13.86,,0.8076,0.7542,0.5975,0.4865,0.6625,0.4583,0.7217,0.4757,0.6205
2011-07-26,14.2,,0.8079,0.6443,0.6099,0.4904,0.6686,0.4586,0.7231,0.4809,0.6105
2011-07-27,14.4982,,0.8044,0.6438,0.605,0.4935,0.6736,0.4543,0.7188,0.4851,0.6098
2011-07-28,13.96,,0.8039,0.5895,0.5649,0.4822,0.6598,0.4537,0.7105,0.4735,0.5922
2011-07-29,13.61,,0.796,0.6035,0.5788,0.474,0.65,0.4441,0.7055,0.4655,0.5897
2011-07-30,13.51,,0.7961,0.6042,0.5575,0.4703,0.6459,0.4441,0.6924,0.4622,0.5841
2011-07-31,13.53,,0.7961,0.6103,0.5903,0.4688,0.6447,0.4442,0.6881,0.4612,0.588
2011-08-01,13.52,,0.7925,0.6589,0.5658,0.4668,0.6428,0.4398,0.684,0.4598,0.5888
2011-08-02,13.17,,0.7847,0.6607,0.529,0.4586,0.6327,0.4308,0.6757,0.4518,0.578
2011-08-03,12.39,,0.7651,0.6615,0.4598,0.442,0.6114,0.4094,0.6636,0.435,0.556
2011-08-04,12.1771,,0.6685,0.6605,0.4462,0.4368,0.6042,0.3185,0.6408,0.4294,0.5256
2011-08-05,10.58,,0.7258,0.6487,0.4403,0.4007,0.5573,0.3692,0.5573,0.3917,0.5114
2011-08-06,10.27,,0.6891,0.6412,0.3134,0.3923,0.5461,0.3357,0.5978,0.3835,0.4874
2011-08-07,7.82,,0.5383,0.6367,0.3753,0.3244,0.4568,0.2226,0.565,0.3117,0.4288
2011-08-08,7.72,,0.6389,0.6447,0.3716,0.3204,0.4509,0.2937,0.4647,0.3077,0.4365
2011-08-09,7.74,,0.6051,0.6243,0.4522,0.3204,0.45,0.2677,0.5212,0.3081,0.4436
2011-08-10,9.72,,0.703,0.6271,0.469,0.3757,0.5215,0.3456,0.4929,0.3671,0.4877
2011-08-11,10.0,,0.7125,0.6256,0.4236,0.3817,0.529,0.3541,0.5585,0.374,0.4949
2011-08-12,10.3025,,0.689,0.6246,0.4115,0.3882,0.5368,0.3334,0.5631,0.3814,0.491
2011-08-13,9.32,,0.6896,0.5985,0.4242,0.3624,0.5029,0.334,0.5419,0.3548,0.476
2011-08-14,9.8,,0.711,0.5956,0.4484,0.3738,0.5173,0.3529,0.5397,0.3673,0.4883
2011-08-15,10.61,,0.7385,0.5878,0.4495,0.3924,0.5412,0.3786,0.5537,0.3872,0.5036
2011-08-16,11.3,,0.7478,0.5782,0.4804,0.4068,0.5598,0.388,0.5734,0.4029,0.5172
2011-08-17,11.05,,0.7429,0.5706,0.4574,0.4001,0.5509,0.3834,0.579,0.3965,0.5101
2011-08-18,10.88,,0.7414,0.5724,0.4687,0.3952,0.5442,0.3823,0.5722,0.3918,0.5085
2011-08-19,11.3386,,0.7377,0.5722,0.4612,0.4043,0.5558,0.3788,0.5684,0.4018,0.51
2011-08-20,11.4,,0.7613,0.5809,0.4946,0.4044,0.5559,0.4025,0.5625,0.4025,0.5206
2011-08-21,11.49,,0.7549,0.5829,0.5043,0.4052,0.5567,0.3962,0.5805,0.404,0.5231
2011-08-22,11.38,,0.7517,0.5806,0.5068,0.4017,0.5519,0.393,0.5719,0.401,0.5198
2011-08-23,11.03,,0.7383,0.5744,0.4819,0.3929,0.5402,0.38,0.5661,0.3925,0.5083
2011-08-24,11.03,,0.7382,0.5682,0.4402,0.3918,0.5385,0.3799,0.5516,0.3919,0.5
2011-08-25,10.94,,0.7365,0.5712,0.4061,0.3887,0.5341,0.3784,0.5486,0.3874,0.4939
2011-08-26,10.01,,0.6851,0.6018,0.3846,0.3659,0.5037,0.3326,0.5444,0.3637,0.4727
2011-08-27,8.8839,,0.615,0.5854,0.3486,0.3357,0.4635,0.2767,0.5035,0.3295,0.4322
2011-08-28,8.63,,0.6653,0.7093,0.3473,0.3279,0.4524,0.3116,0.454,0.3217,0.4487
2011-08-29,8.97,,0.6852,0.7096,0.3909,0.3367,0.4632,0.3279,0.4686,0.331,0.4641
2011-08-30,8.93,,0.6816,0.7108,0.4004,0.3349,0.46,0.3251,0.4809,0.3297,0.4654
2011-08-31,8.78,,0.6748,0.711,0.396,0.3301,0.4528,0.3197,0.4765,0.3252,0.4608
2011-09-01,8.35,,0.6445,0.7088,0.3468,0.317,0.4349,0.2959,0.4693,0.3121,0.4412
2011-09-02,8.22,,0.6469,0.6997,0.4092,0.3125,0.4281,0.2978,0.446,0.3077,0.4435
